id,valor,valor_condominio,area_util,valor_area,garagem,quartos,area_total,ultima_atualizacao,suites,sol,imovel,apartamento,edificio,empreendimento,financiamento,andar,reformado,descricao,url,cidade_1 dia,cidade_1 dias,cidade_10 dias,cidade_100 dias,cidade_101 dias,cidade_102 dias,cidade_103 dias,cidade_104 dias,cidade_106 dias,cidade_107 dias,cidade_108 dias,cidade_109 dias,cidade_11 dias,cidade_110 dias,cidade_113 dias,cidade_114 dias,cidade_116 dias,cidade_117 dias,cidade_118 dias,cidade_12 dias,cidade_121 dias,cidade_123 dias,cidade_125 dias,cidade_126 dias,cidade_127 dias,cidade_128 dias,cidade_129 dias,cidade_13 dias,cidade_130 dias,cidade_131 dias,cidade_133 dias,cidade_134 dias,cidade_136 dias,cidade_138 dias,cidade_14 dias,cidade_140 dias,cidade_145 dias,cidade_149 dias,cidade_15 dias,cidade_151 dias,cidade_152 dias,cidade_153 dias,cidade_154 dias,cidade_155 dias,cidade_156 dias,cidade_159 dias,cidade_16 dias,cidade_160 dias,cidade_164 dias,cidade_166 dias,cidade_168 dias,cidade_17 dias,cidade_170 dias,cidade_171 dias,cidade_173 dias,cidade_177 dias,cidade_179 dias,cidade_18 dias,cidade_183 dias,cidade_185 dias,cidade_186 dias,cidade_187 dias,cidade_189 dias,cidade_19 dias,cidade_192 dias,cidade_193 dias,cidade_2 dias,cidade_20 dias,cidade_201 dias,cidade_203 dias,cidade_205 dias,cidade_207 dias,cidade_208 dias,cidade_211 dias,cidade_212 dias,cidade_214 dias,cidade_215 dias,cidade_219 dias,cidade_22 dias,cidade_225 dias,cidade_226 dias,cidade_23 dias,cidade_230 dias,cidade_236 dias,cidade_239 dias,cidade_24 dias,cidade_241 dias,cidade_25 dias,cidade_26 dias,cidade_261 dias,cidade_269 dias,cidade_27 dias,cidade_28 dias,cidade_284 dias,cidade_29 dias,cidade_296 dias,cidade_3 dias,cidade_30 dias,cidade_301 dias,cidade_302 dias,cidade_304 dias,cidade_309 dias,cidade_31 dias,cidade_311 dias,cidade_32 dias,cidade_337 dias,cidade_34 dias,cidade_343 dias,cidade_35 dias,cidade_353 dias,cidade_36 dias,cidade_37 dias,cidade_38 dias,cidade_39 dias,cidade_393 dias,cidade_399 dias,cidade_4 dias,cidade_40 dias,cidade_409 dias,cidade_41 dias,cidade_43 dias,cidade_430 dias,cidade_438 dias,cidade_44 dias,cidade_443 dias,cidade_444 dias,cidade_449 dias,cidade_45 dias,cidade_46 dias,cidade_47 dias,cidade_48 dias,cidade_49 dias,cidade_5 dias,cidade_50 dias,cidade_51 dias,cidade_520 dias,cidade_526 dias,cidade_527 dias,cidade_54 dias,cidade_55 dias,cidade_56 dias,cidade_561 dias,cidade_57 dias,cidade_58 dias,cidade_59 dias,cidade_6 dias,cidade_60 dias,cidade_61 dias,cidade_62 dias,cidade_63 dias,cidade_64 dias,cidade_65 dias,cidade_66 dias,cidade_67 dias,cidade_68 dias,cidade_69 dias,cidade_7 dias,cidade_70 dias,cidade_71 dias,cidade_72 dias,cidade_73 dias,cidade_739 dias,cidade_74 dias,cidade_75 dias,cidade_76 dias,cidade_77 dias,cidade_78 dias,cidade_79 dias,cidade_8 dias,cidade_80 dias,cidade_81 dias,cidade_83 dias,cidade_86 dias,cidade_87 dias,cidade_88 dias,cidade_9 dias,cidade_92 dias,cidade_93 dias,cidade_94 dias,cidade_95 dias,cidade_98 dias,cidade_ASA NORTE,cidade_ASA SUL,cidade_SUDOESTE,cidade_ASA_NORTE,ln_valor
21241455,1190000.0,,88.0,13522.0,1.0,3.0,8800.0,22/02/2025,1.0,,empty,empty,,,,,0.0,SQSW 302 Bloco I,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-sudoeste-brasilia-df-sqsw-302-bloco-i-972323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.989463865087712
AP0644,1149000.0,,90.0,12766.0,1.0,3.0,,22/02/2025,1.0,,empty,empty,,,,,0.0,SQN 316,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-316-1070037,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.954402556830892
KI75,1150000.0,,90.0,12777.0,1.0,3.0,9000.0,22/02/2025,1.0,,empty,empty,,,,,0.0,SQSW 303,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-sudoeste-brasilia-df-sqsw-303-1113557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.955272500339433
1052233,950000.0,905.0,90.0,10555.0,1.0,3.0,9000.0,22/02/2025,1.0,1.0,Meio,5° Andar,,6 Andares,1,5.0,0.0,SQSW 104 Bloco A,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-sudoeste-brasilia-df-sqsw-104-bloco-a-1052233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.764217263576723
1015292,1149000.0,,90.0,12766.0,1.0,3.0,,22/02/2025,1.0,,empty,5° Andar,,6 Andares,,5.0,1.0,SQN 316 Bloco E,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-316-bloco-e-1015292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.954402556830892
VILLA149240V01,1050000.0,,90.0,11666.0,1.0,3.0,,22/02/2025,1.0,,empty,empty,,,,,0.0,SQN 316,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-316-952827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.864300722133706
1102316,1075000.0,,90.0,11944.0,1.0,3.0,13700.0,22/02/2025,1.0,,empty,empty,,,,,1.0,"SQN 316 Bloco E Andar alto, varanda, vista, armários",https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-316-bloco-e-1102316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.8878312195439
BKRJM002,1147500.0,1216.0,90.0,12750.0,1.0,3.0,,22/02/2025,1.0,1.0,Lateral,5° Andar,,6 Andares,,5.0,1.0,SQN 316,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-316-1097427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.953096220916837
AC3318,1100000.0,,91.0,12087.0,1.0,3.0,,22/02/2025,1.0,,empty,empty,,,,,0.0,SQSW 102,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-sudoeste-brasilia-df-sqsw-102-1077154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13.9108207377686
AP0145,945000.0,,92.0,10271.0,1.0,3.0,,22/02/2025,1.0,,empty,empty,,6 Andares,,,0.0,SQN 216 Bloco K,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-216-bloco-k-1041988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.758940206475879
